timestamp,action,action_name,price,position
2025-02-25_15-57-39,1,LONG,87315.99,1
2025-02-26 12:48:19,1,LONG,88753.23,1
2025-02-26 13:03:20,0,IDLE,88520.89,0
2025-02-26 13:18:22,1,LONG,88301.3,1
2025-02-26 13:33:25,0,IDLE,88374.55,0
2025-02-26 13:48:27,1,LONG,88184.42,1
2025-02-26 14:03:30,0,IDLE,87871.33,0
2025-02-26 14:18:33,1,LONG,87599.99,1
